task,baseline,f1,accuracy,balanced_accuracy,mcc,roc_auc,pr_auc,precision,sensitivity,specificity,tn,fp,fn,tp,f1_mean,f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
1vs2,DummyClassifier(most_frequent),0.42105263157894735,0.4811320754716981,0.4811320754716981,-0.03857583749052298,0.48113207547169806,0.4910152740341419,0.47619047619047616,0.37735849056603776,0.5849056603773475,31,22,33,20,0.25806451612903225,0.35336939193881683,0.4809523809523809,0.01064794274999901,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.023809523809523836,0.19047619047619047,0.2608202654786505,0.4,0.5477225575051662,0.5999999999999418,0.547722557505113
1vs2,DummyClassifier(stratified),0.5046728971962616,0.5,0.5,0.0,0.5,0.5,0.5,0.5094339622641509,0.4905660377358398,26,27,26,27,0.5026915113871635,0.11216870827936289,0.4991341991341991,0.10817747869668665,0.5,0.10813979321245744,0.00015120080337470697,0.21643867826810562,0.5,0.10813979321245744,0.5092207792207792,0.03129319226063841,0.4948484848484848,0.08795451282853778,0.5127272727272728,0.13690800434193964,0.48727272727268156,0.07966873563710983
1vs2,AllPositive,0.6666666666666666,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0,53,0,53,0.6663978494623656,0.02116988819945954,0.5,0.023809523809523836,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.023809523809523836,0.5,0.023809523809523836,1.0,0.0,0.0,0.0
1vs3,DummyClassifier(most_frequent),0.42105263157894735,0.4811320754716981,0.4811320754716981,-0.03857583749052298,0.48113207547169806,0.4910152740341419,0.47619047619047616,0.37735849056603776,0.5849056603773475,31,22,33,20,0.25806451612903225,0.35336939193881683,0.4809523809523809,0.01064794274999901,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.023809523809523836,0.19047619047619047,0.2608202654786505,0.4,0.5477225575051662,0.5999999999999418,0.547722557505113
1vs3,DummyClassifier(stratified),0.5046728971962616,0.5,0.5,0.0,0.5,0.5,0.5,0.5094339622641509,0.4905660377358398,26,27,26,27,0.5026915113871635,0.11216870827936289,0.4991341991341991,0.10817747869668665,0.5,0.10813979321245744,0.00015120080337470697,0.21643867826810562,0.5,0.10813979321245744,0.5092207792207792,0.03129319226063841,0.4948484848484848,0.08795451282853778,0.5127272727272728,0.13690800434193964,0.48727272727268156,0.07966873563710983
1vs3,AllPositive,0.6666666666666666,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0,53,0,53,0.6663978494623656,0.02116988819945954,0.5,0.023809523809523836,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.023809523809523836,0.5,0.023809523809523836,1.0,0.0,0.0,0.0
2vs3,DummyClassifier(most_frequent),0.42105263157894735,0.4811320754716981,0.4811320754716981,-0.03857583749052298,0.48113207547169806,0.4910152740341419,0.47619047619047616,0.37735849056603776,0.5849056603773475,31,22,33,20,0.25806451612903225,0.35336939193881683,0.4809523809523809,0.01064794274999901,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.023809523809523836,0.19047619047619047,0.2608202654786505,0.4,0.5477225575051662,0.5999999999999418,0.547722557505113
2vs3,DummyClassifier(stratified),0.5046728971962616,0.5,0.5,0.0,0.5,0.5,0.5,0.5094339622641509,0.4905660377358398,26,27,26,27,0.5026915113871635,0.11216870827936289,0.4991341991341991,0.10817747869668665,0.5,0.10813979321245744,0.00015120080337470697,0.21643867826810562,0.5,0.10813979321245744,0.5092207792207792,0.03129319226063841,0.4948484848484848,0.08795451282853778,0.5127272727272728,0.13690800434193964,0.48727272727268156,0.07966873563710983
2vs3,AllPositive,0.6666666666666666,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0,53,0,53,0.6663978494623656,0.02116988819945954,0.5,0.023809523809523836,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.023809523809523836,0.5,0.023809523809523836,1.0,0.0,0.0,0.0
1+2vs3,DummyClassifier(most_frequent),0.0,0.6666666666666666,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.9999999999999906,106,0,53,0,0.0,0.0,0.666733870967742,0.014791436136713439,0.5,0.0,0.0,0.0,0.5,0.0,0.33326612903225805,0.01479143613671345,0.0,0.0,0.0,0.0,0.9999999999999529,9.43689570931383e-16
1+2vs3,DummyClassifier(stratified),0.11363636363636363,0.5094339622641509,0.40566037735849053,-0.21466939537054594,0.4056603773584906,0.31536388140161725,0.14285714285714285,0.09433962264150944,0.716981132075465,76,30,48,5,0.11372549019607843,0.003579885996765794,0.509475806451613,0.014033474641366816,0.4057142857142857,0.0048462618589727915,-0.21454864072579394,0.013614655278959432,0.4057142857142857,0.004846261858972822,0.3153210096355258,0.014285158739491205,0.14285714285714285,0.0,0.09454545454545456,0.004979295977319694,0.7168831168830831,0.005807968772727175
1+2vs3,AllPositive,0.5,0.3333333333333333,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0,106,0,53,0.4997758150338979,0.01674057787925582,0.33326612903225805,0.01479143613671345,0.5,0.0,0.0,0.0,0.5,0.0,0.33326612903225805,0.01479143613671345,0.33326612903225805,0.01479143613671345,1.0,0.0,0.0,0.0
