f1,accuracy,balanced_accuracy,mcc,roc_auc,pr_auc,precision,sensitivity,specificity,tn,fp,fn,tp,fold,task
0.35294117647058826,0.5,0.5,0.0,0.46280991735537186,0.6182791537667699,0.5,0.2727272727272727,0.7272727272726611,8,3,8,3,0,1vs2
0.38095238095238093,0.38095238095238093,0.38181818181818183,-0.23636363636363636,0.4136363636363637,0.4969746481588587,0.36363636363636365,0.4,0.36363636363633056,4,7,6,4,1,1vs2
0.42105263157894735,0.47619047619047616,0.4727272727272727,-0.05504818825631803,0.5,0.4916883116883117,0.4444444444444444,0.4,0.5454545454544959,6,5,6,4,2,1vs2
0.38095238095238093,0.38095238095238093,0.38181818181818183,-0.23636363636363636,0.44545454545454544,0.5811272459597818,0.4,0.36363636363636365,0.39999999999996,4,6,7,4,3,1vs2
0.43478260869565216,0.38095238095238093,0.37727272727272726,-0.24771684715343112,0.37272727272727274,0.462156021106204,0.4166666666666667,0.45454545454545453,0.29999999999997,3,7,6,5,4,1vs2
0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.7520661157024794,0.8145316804407714,0.8181818181818182,0.8181818181818182,0.8181818181817438,9,2,2,9,0,1vs3
0.8888888888888888,0.9047619047619048,0.9,0.8227533512074423,0.9363636363636363,0.9484848484848484,1.0,0.8,0.9999999999999091,11,0,2,8,1,1vs3
0.9,0.9047619047619048,0.9045454545454545,0.8090909090909091,0.8909090909090909,0.9190204678362573,0.9,0.9,0.9090909090908265,10,1,1,9,2,1vs3
0.7,0.7142857142857143,0.7181818181818183,0.4403855060505442,0.8090909090909091,0.8714941624032535,0.7777777777777778,0.6363636363636364,0.79999999999992,8,2,4,7,3,1vs3
0.8,0.7619047619047619,0.7545454545454545,0.5393598899705937,0.7,0.6284575273211637,0.7142857142857143,0.9090909090909091,0.59999999999994,6,4,1,10,4,1vs3
0.5555555555555556,0.6363636363636364,0.6363636363636364,0.2927700218845599,0.5165289256198347,0.5642312280083177,0.7142857142857143,0.45454545454545453,0.8181818181817438,9,2,6,5,0,2vs3
0.7,0.7142857142857143,0.7136363636363636,0.42727272727272725,0.7272727272727273,0.7982051282051281,0.7,0.7,0.7272727272726611,8,3,3,7,1,2vs3
0.5714285714285714,0.5714285714285714,0.5727272727272728,0.14545454545454545,0.6818181818181818,0.6420488283646179,0.5454545454545454,0.6,0.5454545454544959,6,5,4,6,2,2vs3
0.5,0.5238095238095238,0.5272727272727272,0.05504818825631803,0.5,0.6119161540214172,0.5555555555555556,0.45454545454545453,0.59999999999994,6,4,6,5,3,2vs3
0.6666666666666666,0.6190476190476191,0.6136363636363636,0.2337367475021143,0.5727272727272728,0.6003211731821357,0.6153846153846154,0.7272727272727273,0.49999999999995,5,5,3,8,4,2vs3
0.6666666666666666,0.8125,0.7545454545454545,0.5449492609130661,0.8090909090909091,0.6571786994367639,0.75,0.6,0.9090909090908679,20,2,4,6,0,1+2vs3
0.5454545454545454,0.6875,0.6536796536796536,0.30735930735930733,0.6493506493506493,0.4771531042103142,0.5454545454545454,0.5454545454545454,0.7619047619047257,16,5,5,6,1,1+2vs3
0.6666666666666666,0.75,0.7445887445887446,0.47306844125299624,0.7532467532467533,0.5566852339579612,0.6153846153846154,0.7272727272727273,0.7619047619047257,16,5,3,8,2,1+2vs3
0.5217391304347826,0.65625,0.6298701298701299,0.2548235957188128,0.7186147186147185,0.6319397986774148,0.5,0.5454545454545454,0.7142857142856803,15,6,5,6,3,1+2vs3
0.1,0.41935483870967744,0.3357142857142857,-0.32857142857142857,0.3619047619047619,0.29861952642725564,0.1,0.1,0.5714285714285443,12,9,9,1,4,1+2vs3
