f1_mean,f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,task,type,f1,accuracy,balanced_accuracy,mcc,roc_auc,pr_auc,precision,sensitivity,specificity,tn,fp,fn,tp,fold
0.3941362357299899,0.033246356799434704,0.4238095238095238,0.05928523618089873,0.42272727272727273,0.05891582453098054,-0.15509846162740437,0.1181649404308284,0.43892561983471073,0.04838629477755439,0.5300450761359853,0.06627303167123075,0.42494949494949485,0.05114443757185499,0.37818181818181823,0.0672972928120791,0.4672727272726836,0.17099610937527976,1vs2,fold_summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1vs2,per_fold,0.35294117647058826,0.5,0.5,0.0,0.46280991735537186,0.6182791537667699,0.5,0.2727272727272727,0.7272727272726611,8.0,3.0,8.0,3.0,0.0
,,,,,,,,,,,,,,,,,,1vs2,per_fold,0.38095238095238093,0.38095238095238093,0.38181818181818183,-0.23636363636363636,0.4136363636363637,0.4969746481588587,0.36363636363636365,0.4,0.36363636363633056,4.0,7.0,6.0,4.0,1.0
,,,,,,,,,,,,,,,,,,1vs2,per_fold,0.42105263157894735,0.47619047619047616,0.4727272727272727,-0.05504818825631803,0.5,0.4916883116883117,0.4444444444444444,0.4,0.5454545454544959,6.0,5.0,6.0,4.0,2.0
,,,,,,,,,,,,,,,,,,1vs2,per_fold,0.38095238095238093,0.38095238095238093,0.38181818181818183,-0.23636363636363636,0.44545454545454544,0.5811272459597818,0.4,0.36363636363636365,0.39999999999996,4.0,6.0,7.0,4.0,3.0
,,,,,,,,,,,,,,,,,,1vs2,per_fold,0.43478260869565216,0.38095238095238093,0.37727272727272726,-0.24771684715343112,0.37272727272727274,0.462156021106204,0.4166666666666667,0.45454545454545453,0.29999999999997,3.0,7.0,6.0,5.0,4.0
0.8214141414141414,0.08052792344549452,0.8207792207792208,0.08502940337196097,0.8190909090909091,0.0839618173746823,0.6495906585366251,0.16697171941741684,0.8176859504132231,0.09705132896318798,0.8363977372972589,0.12682571754052233,0.8420490620490619,0.11105260729984165,0.8127272727272727,0.10977060980453514,0.8254545454544677,0.1491574131053974,1vs3,fold_summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1vs3,per_fold,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.7520661157024794,0.8145316804407714,0.8181818181818182,0.8181818181818182,0.8181818181817438,9.0,2.0,2.0,9.0,0.0
,,,,,,,,,,,,,,,,,,1vs3,per_fold,0.8888888888888888,0.9047619047619048,0.9,0.8227533512074423,0.9363636363636363,0.9484848484848484,1.0,0.8,0.9999999999999091,11.0,0.0,2.0,8.0,1.0
,,,,,,,,,,,,,,,,,,1vs3,per_fold,0.9,0.9047619047619048,0.9045454545454545,0.8090909090909091,0.8909090909090909,0.9190204678362573,0.9,0.9,0.9090909090908265,10.0,1.0,1.0,9.0,2.0
,,,,,,,,,,,,,,,,,,1vs3,per_fold,0.7,0.7142857142857143,0.7181818181818183,0.4403855060505442,0.8090909090909091,0.8714941624032535,0.7777777777777778,0.6363636363636364,0.79999999999992,8.0,2.0,4.0,7.0,3.0
,,,,,,,,,,,,,,,,,,1vs3,per_fold,0.8,0.7619047619047619,0.7545454545454545,0.5393598899705937,0.7,0.6284575273211637,0.7142857142857143,0.9090909090909091,0.59999999999994,6.0,4.0,1.0,10.0,4.0
0.5987301587301587,0.08250457128665512,0.612987012987013,0.07163161486362964,0.6127272727272728,0.07007964772167015,0.23085644607405303,0.14197092191027003,0.5996694214876033,0.10075122515852901,0.6433445023563233,0.09094112150140028,0.6261360861360861,0.07879237136504626,0.5872727272727273,0.13009850050907867,0.6381818181817581,0.13180250690500367,2vs3,fold_summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2vs3,per_fold,0.5555555555555556,0.6363636363636364,0.6363636363636364,0.2927700218845599,0.5165289256198347,0.5642312280083177,0.7142857142857143,0.45454545454545453,0.8181818181817438,9.0,2.0,6.0,5.0,0.0
,,,,,,,,,,,,,,,,,,2vs3,per_fold,0.7,0.7142857142857143,0.7136363636363636,0.42727272727272725,0.7272727272727273,0.7982051282051281,0.7,0.7,0.7272727272726611,8.0,3.0,3.0,7.0,1.0
,,,,,,,,,,,,,,,,,,2vs3,per_fold,0.5714285714285714,0.5714285714285714,0.5727272727272728,0.14545454545454545,0.6818181818181818,0.6420488283646179,0.5454545454545454,0.6,0.5454545454544959,6.0,5.0,4.0,6.0,2.0
,,,,,,,,,,,,,,,,,,2vs3,per_fold,0.5,0.5238095238095238,0.5272727272727272,0.05504818825631803,0.5,0.6119161540214172,0.5555555555555556,0.45454545454545453,0.59999999999994,6.0,4.0,6.0,5.0,3.0
,,,,,,,,,,,,,,,,,,2vs3,per_fold,0.6666666666666666,0.6190476190476191,0.6136363636363636,0.2337367475021143,0.5727272727272728,0.6003211731821357,0.6153846153846154,0.7272727272727273,0.49999999999995,5.0,5.0,3.0,8.0,4.0
0.5001054018445322,0.23350278665486587,0.6651209677419355,0.14992125816522456,0.6236796536796537,0.17000532436044827,0.2503258353345508,0.3445331335040437,0.6584415584415584,0.1755852907754173,0.524315272541942,0.14443543814642676,0.5021678321678322,0.2438525310963552,0.5036363636363637,0.23754947288115735,0.7437229437229087,0.12099547739066625,1+2vs3,fold_summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1+2vs3,per_fold,0.6666666666666666,0.8125,0.7545454545454545,0.5449492609130661,0.8090909090909091,0.6571786994367639,0.75,0.6,0.9090909090908679,20.0,2.0,4.0,6.0,0.0
,,,,,,,,,,,,,,,,,,1+2vs3,per_fold,0.5454545454545454,0.6875,0.6536796536796536,0.30735930735930733,0.6493506493506493,0.4771531042103142,0.5454545454545454,0.5454545454545454,0.7619047619047257,16.0,5.0,5.0,6.0,1.0
,,,,,,,,,,,,,,,,,,1+2vs3,per_fold,0.6666666666666666,0.75,0.7445887445887446,0.47306844125299624,0.7532467532467533,0.5566852339579612,0.6153846153846154,0.7272727272727273,0.7619047619047257,16.0,5.0,3.0,8.0,2.0
,,,,,,,,,,,,,,,,,,1+2vs3,per_fold,0.5217391304347826,0.65625,0.6298701298701299,0.2548235957188128,0.7186147186147185,0.6319397986774148,0.5,0.5454545454545454,0.7142857142856803,15.0,6.0,5.0,6.0,3.0
,,,,,,,,,,,,,,,,,,1+2vs3,per_fold,0.1,0.41935483870967744,0.3357142857142857,-0.32857142857142857,0.3619047619047619,0.29861952642725564,0.1,0.1,0.5714285714285443,12.0,9.0,9.0,1.0,4.0
