Group,AUC
0,0.5952380952380952
1,0.5952380952380952
2,0.40476190476190477
3,0.6904761904761906
4,0.49523809523809526
5,0.5142857142857142
6,0.5476190476190477
7,0.580952380952381
8,0.4666666666666667
9,0.5761904761904761
10,0.5095238095238096
11,0.5857142857142857
12,0.4523809523809524
13,0.5285714285714286
14,0.5619047619047619
15,0.5238095238095238
16,0.5047619047619047
17,0.6
18,0.49047619047619045
19,0.48571428571428577
20,0.5
21,0.6047619047619048
22,0.5190476190476191
23,0.5428571428571428
24,0.5666666666666667
25,0.5904761904761905
26,0.6190476190476191
27,0.48095238095238096
28,0.2904761904761905
29,0.5285714285714286
30,0.5571428571428572
31,0.6142857142857143
32,0.41904761904761906
33,0.48095238095238096
34,0.5523809523809524
35,0.4095238095238095
36,0.5619047619047619
37,0.5476190476190477
38,0.5190476190476191
39,0.6190476190476191
40,0.5142857142857142
41,0.480952380952381
42,0.49523809523809526
43,0.5904761904761905
44,0.5238095238095238
45,0.5523809523809524
46,0.5333333333333333
47,0.6571428571428571
48,0.45238095238095244
49,0.6
50,0.5428571428571429
51,0.5095238095238095
52,0.5666666666666667
53,0.5523809523809524
54,0.5476190476190477
55,0.5428571428571429
56,0.480952380952381
57,0.5666666666666667
58,0.6
59,0.3761904761904762
60,0.5809523809523809
61,0.4571428571428572
62,0.5047619047619047
63,0.4904761904761905
64,0.5095238095238095
65,0.5952380952380952
66,0.5523809523809524
67,0.5761904761904763
68,0.5523809523809524
69,0.4952380952380953
70,0.6
71,0.5428571428571428
72,0.5476190476190476
73,0.5142857142857143
74,0.49523809523809526
75,0.5571428571428572
76,0.5857142857142857
77,0.41428571428571426
78,0.46190476190476193
79,0.5476190476190477
80,0.7904761904761906
81,0.5047619047619047
82,0.4714285714285714
83,0.5428571428571429
84,0.5
85,0.5904761904761905
86,0.5619047619047619
87,0.5333333333333333
88,0.5142857142857143
89,0.519047619047619
90,0.4571428571428572
91,0.5857142857142857
92,0.4952380952380952
93,0.5047619047619047
94,0.3476190476190476
95,0.5666666666666667
96,0.5333333333333333
97,0.5857142857142856
98,0.5047619047619047
99,0.5571428571428572
