Group,AUC
0,0.40476190476190477
1,0.5571428571428572
2,0.45238095238095233
3,0.5428571428571428
4,0.4571428571428572
5,0.46190476190476193
6,0.4666666666666667
7,0.41904761904761906
8,0.4619047619047619
9,0.4571428571428572
10,0.480952380952381
11,0.40952380952380957
12,0.45238095238095244
13,0.5428571428571429
14,0.4190476190476191
15,0.45238095238095244
16,0.5476190476190477
17,0.5523809523809524
18,0.4333333333333333
19,0.4380952380952381
20,0.45714285714285713
21,0.6714285714285715
22,0.4428571428571429
23,0.5333333333333333
24,0.47619047619047616
25,0.4571428571428572
26,0.44761904761904764
27,0.4857142857142857
28,0.5761904761904763
29,0.4380952380952381
30,0.4714285714285714
31,0.4523809523809524
32,0.480952380952381
33,0.4380952380952381
34,0.5047619047619047
35,0.4666666666666667
36,0.46190476190476193
37,0.4523809523809524
38,0.5
39,0.4571428571428572
40,0.4238095238095238
41,0.32857142857142857
42,0.4428571428571429
43,0.41428571428571437
44,0.4714285714285714
45,0.4380952380952382
46,0.4523809523809524
47,0.47619047619047616
48,0.4571428571428572
49,0.4761904761904762
50,0.45238095238095244
51,0.45238095238095244
52,0.5238095238095238
53,0.4571428571428572
54,0.4285714285714286
55,0.46190476190476193
56,0.42857142857142855
57,0.43333333333333335
58,0.46190476190476193
59,0.43333333333333335
60,0.3666666666666667
61,0.46190476190476193
62,0.5523809523809524
63,0.43809523809523815
64,0.4428571428571429
65,0.4571428571428572
66,0.43333333333333335
67,0.46190476190476193
68,0.5761904761904763
69,0.4380952380952381
70,0.45238095238095244
71,0.45238095238095244
72,0.4714285714285714
73,0.4666666666666667
74,0.4666666666666667
75,0.5285714285714286
76,0.3523809523809524
77,0.44285714285714284
78,0.44285714285714284
79,0.47142857142857136
80,0.46190476190476193
81,0.4285714285714286
82,0.47619047619047616
83,0.4571428571428572
84,0.4380952380952381
85,0.44285714285714284
86,0.4428571428571428
87,0.45714285714285713
88,0.46190476190476193
89,0.4666666666666667
90,0.5380952380952382
91,0.45238095238095233
92,0.4666666666666667
93,0.4
94,0.48095238095238096
95,0.5666666666666667
96,0.4380952380952381
97,0.4666666666666667
98,0.5
99,0.4476190476190476
