Repeat,Sensitivity,Specificity,PPV,NPV,Accuracy,F1,AUC
0,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.46190476190476193
1,0.29999999999997,0.6190476190475896,0.27272727272724795,0.6499999999999676,0.5161290322580478,0.2857142857137597,0.5190476190476191
2,0.79999999999992,0.28571428571427215,0.34782608695650663,0.7499999999999063,0.4516129032257919,0.484848484848033,0.49523809523809526
3,0.49999999999995,0.4285714285714082,0.2941176470588063,0.6428571428570969,0.4516129032257919,0.3703703703698766,0.46190476190476193
4,0.39999999999996,0.47619047619045357,0.2666666666666489,0.624999999999961,0.4516129032257919,0.3199999999994944,0.5047619047619047
5,0.39999999999996,0.6190476190475896,0.33333333333330556,0.6842105263157535,0.5483870967741759,0.3636363636358347,0.4476190476190476
6,0.69999999999993,0.3333333333333175,0.3333333333333175,0.69999999999993,0.4516129032257919,0.45161290322534026,0.4714285714285714
7,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.46190476190476193
8,0.39999999999996,0.666666666666635,0.36363636363633056,0.6999999999999651,0.5806451612903039,0.3809523809518458,0.46190476190476193
9,0.49999999999995,0.47619047619045357,0.3124999999999805,0.6666666666666222,0.4838709677419199,0.3846153846148817,0.5047619047619047
10,0.39999999999996,0.7619047619047257,0.44444444444439507,0.7272727272726943,0.6451612903225599,0.42105263157840445,0.6000000000000001
11,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.5523809523809524
12,0.59999999999994,0.5238095238094989,0.37499999999997663,0.7333333333332844,0.5483870967741759,0.46153846153795275,0.4333333333333333
13,0.79999999999992,0.666666666666635,0.5333333333332978,0.8749999999999454,0.7096774193548159,0.6399999999994688,0.7238095238095238
14,0.59999999999994,0.5714285714285443,0.3999999999999733,0.7499999999999533,0.5806451612903039,0.4799999999994815,0.5142857142857143
15,0.19999999999998,0.666666666666635,0.22222222222219754,0.6363636363636075,0.5161290322580478,0.21052631578895292,0.5904761904761905
16,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.5619047619047619
17,0.39999999999996,0.47619047619045357,0.2666666666666489,0.624999999999961,0.4516129032257919,0.3199999999994944,0.5476190476190477
18,0.39999999999996,0.5238095238094989,0.2857142857142653,0.6470588235293737,0.4838709677419199,0.33333333333281945,0.4285714285714286
19,0.09999999999999,0.809523809523771,0.19999999999996,0.6538461538461288,0.5806451612903039,0.13333333333287112,0.4666666666666667
20,0.69999999999993,0.6190476190475896,0.46666666666663553,0.8124999999999493,0.6451612903225599,0.5599999999994751,0.6714285714285715
21,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.580952380952381
22,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.5666666666666667
23,0.29999999999997,0.5714285714285443,0.24999999999997916,0.6315789473683878,0.4838709677419199,0.27272727272675207,0.44761904761904764
24,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.5714285714285714
25,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.5
26,0.29999999999997,0.809523809523771,0.4285714285713673,0.7083333333333038,0.6451612903225599,0.35294117647006223,0.6380952380952382
27,0.39999999999996,0.5714285714285443,0.307692307692284,0.6666666666666297,0.5161290322580478,0.347826086956,0.5952380952380952
28,0.39999999999996,0.7619047619047257,0.44444444444439507,0.7272727272726943,0.6451612903225599,0.42105263157840445,0.5857142857142857
29,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.49523809523809526
30,0.69999999999993,0.47619047619045357,0.3888888888888673,0.7692307692307101,0.5483870967741759,0.49999999999950506,0.580952380952381
31,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.5238095238095237
32,0.49999999999995,0.5714285714285443,0.3571428571428316,0.705882352941135,0.5483870967741759,0.4166666666661458,0.5047619047619047
33,0.39999999999996,0.5714285714285443,0.307692307692284,0.6666666666666297,0.5161290322580478,0.347826086956,0.6
34,0.59999999999994,0.4285714285714082,0.33333333333331483,0.692307692307639,0.4838709677419199,0.4285714285709388,0.519047619047619
35,0.49999999999995,0.6190476190475896,0.38461538461535505,0.7222222222221821,0.5806451612903039,0.43478260869512286,0.5285714285714286
36,0.29999999999997,0.5238095238094989,0.23076923076921302,0.6111111111110772,0.4516129032257919,0.2608695652168771,0.4761904761904763
37,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.45714285714285713
38,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.5714285714285714
39,0.19999999999998,0.809523809523771,0.33333333333327775,0.6799999999999728,0.6129032258064319,0.24999999999950004,0.6190476190476191
40,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.5809523809523809
41,0.39999999999996,0.6190476190475896,0.33333333333330556,0.6842105263157535,0.5483870967741759,0.3636363636358347,0.6047619047619048
42,0.49999999999995,0.4285714285714082,0.2941176470588063,0.6428571428570969,0.4516129032257919,0.3703703703698766,0.5380952380952381
43,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.5523809523809524
44,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.5285714285714286
45,0.59999999999994,0.4285714285714082,0.33333333333331483,0.692307692307639,0.4838709677419199,0.4285714285709388,0.5809523809523809
46,0.29999999999997,0.5238095238094989,0.23076923076921302,0.6111111111110772,0.4516129032257919,0.2608695652168771,0.3952380952380952
47,0.49999999999995,0.6190476190475896,0.38461538461535505,0.7222222222221821,0.5806451612903039,0.43478260869512286,0.5285714285714286
48,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.48571428571428577
49,0.79999999999992,0.28571428571427215,0.34782608695650663,0.7499999999999063,0.4516129032257919,0.484848484848033,0.5952380952380953
50,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.5571428571428572
51,0.19999999999998,0.8571428571428164,0.39999999999992,0.6923076923076658,0.6451612903225599,0.26666666666618666,0.5666666666666667
52,0.19999999999998,0.6190476190475896,0.19999999999998,0.6190476190475896,0.4838709677419199,0.19999999999948,0.4809523809523809
53,0.39999999999996,0.5238095238094989,0.2857142857142653,0.6470588235293737,0.4838709677419199,0.33333333333281945,0.5047619047619047
54,0.19999999999998,0.9047619047618618,0.499999999999875,0.7037037037036776,0.6774193548386879,0.2857142857138367,0.37142857142857144
55,0.59999999999994,0.38095238095236283,0.3157894736841939,0.6666666666666111,0.4516129032257919,0.4137931034477955,0.4428571428571429
56,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.44285714285714284
57,0.39999999999996,0.47619047619045357,0.2666666666666489,0.624999999999961,0.4516129032257919,0.3199999999994944,0.4952380952380952
58,0.49999999999995,0.47619047619045357,0.3124999999999805,0.6666666666666222,0.4838709677419199,0.3846153846148817,0.5761904761904763
59,0.49999999999995,0.5714285714285443,0.3571428571428316,0.705882352941135,0.5483870967741759,0.4166666666661458,0.580952380952381
60,0.69999999999993,0.38095238095236283,0.34999999999998255,0.7272727272726611,0.4838709677419199,0.4666666666661911,0.6666666666666666
61,0.29999999999997,0.5714285714285443,0.24999999999997916,0.6315789473683878,0.4838709677419199,0.27272727272675207,0.5428571428571428
62,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.5095238095238096
63,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.5047619047619047
64,0.29999999999997,0.5714285714285443,0.24999999999997916,0.6315789473683878,0.4838709677419199,0.27272727272675207,0.42380952380952386
65,0.49999999999995,0.6190476190475896,0.38461538461535505,0.7222222222221821,0.5806451612903039,0.43478260869512286,0.6095238095238096
66,0.69999999999993,0.6190476190475896,0.46666666666663553,0.8124999999999493,0.6451612903225599,0.5599999999994751,0.6761904761904762
67,0.49999999999995,0.6190476190475896,0.38461538461535505,0.7222222222221821,0.5806451612903039,0.43478260869512286,0.5523809523809524
68,0.49999999999995,0.7619047619047257,0.49999999999995,0.7619047619047257,0.6774193548386879,0.49999999999945,0.6428571428571428
69,0.29999999999997,0.5238095238094989,0.23076923076921302,0.6111111111110772,0.4516129032257919,0.2608695652168771,0.4952380952380952
70,0.49999999999995,0.7142857142856803,0.45454545454541323,0.7499999999999626,0.6451612903225599,0.476190476189932,0.5904761904761906
71,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.5095238095238095
72,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.6476190476190476
73,0.29999999999997,0.8571428571428164,0.4999999999999167,0.7199999999999712,0.6774193548386879,0.37499999999948436,0.49047619047619045
74,0.39999999999996,0.809523809523771,0.4999999999999375,0.7391304347825766,0.6774193548386879,0.4444444444439012,0.6571428571428571
75,0.49999999999995,0.6190476190475896,0.38461538461535505,0.7222222222221821,0.5806451612903039,0.43478260869512286,0.580952380952381
76,0.19999999999998,0.5714285714285443,0.18181818181816528,0.59999999999997,0.4516129032257919,0.1904761904756735,0.3904761904761905
77,0.39999999999996,0.38095238095236283,0.235294117647045,0.5714285714285307,0.38709677419353594,0.29629629629580795,0.4285714285714286
78,0.29999999999997,0.666666666666635,0.29999999999997,0.666666666666635,0.5483870967741759,0.29999999999947,0.5238095238095238
79,0.29999999999997,0.47619047619045357,0.21428571428569898,0.5882352941176126,0.4193548387096639,0.24999999999949313,0.4809523809523809
80,0.29999999999997,0.809523809523771,0.4285714285713673,0.7083333333333038,0.6451612903225599,0.35294117647006223,0.46190476190476193
81,0.19999999999998,0.7619047619047257,0.2857142857142449,0.666666666666639,0.5806451612903039,0.2352941176465467,0.5428571428571428
82,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.5714285714285714
83,0.49999999999995,0.47619047619045357,0.3124999999999805,0.6666666666666222,0.4838709677419199,0.3846153846148817,0.5571428571428572
84,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.5428571428571428
85,0.29999999999997,0.7619047619047257,0.37499999999995315,0.6956521739130133,0.6129032258064319,0.33333333333280246,0.5714285714285714
86,0.19999999999998,0.9999999999999525,0.9999999999995,0.7241379310344578,0.7419354838709439,0.33333333333299997,0.5523809523809524
87,0.09999999999999,0.809523809523771,0.19999999999996,0.6538461538461288,0.5806451612903039,0.13333333333287112,0.4666666666666667
88,0.0,0.809523809523771,0.0,0.6296296296296063,0.5483870967741759,0.0,0.49523809523809526
89,0.19999999999998,0.7142857142856803,0.24999999999996875,0.65217391304345,0.5483870967741759,0.22222222222170368,0.42380952380952386
90,0.29999999999997,0.7142857142856803,0.3333333333332963,0.6818181818181509,0.5806451612903039,0.3157894736836787,0.5380952380952382
91,0.59999999999994,0.38095238095236283,0.3157894736841939,0.6666666666666111,0.4516129032257919,0.4137931034477955,0.49523809523809526
92,0.19999999999998,0.9047619047618618,0.499999999999875,0.7037037037036776,0.6774193548386879,0.2857142857138367,0.5095238095238095
93,0.49999999999995,0.5238095238094989,0.3333333333333111,0.6874999999999571,0.5161290322580478,0.399999999999488,0.5428571428571429
94,0.59999999999994,0.47619047619045357,0.3529411764705675,0.7142857142856632,0.5161290322580478,0.44444444444394515,0.5476190476190477
95,0.29999999999997,0.4285714285714082,0.19999999999998666,0.5624999999999649,0.38709677419353594,0.23999999999950078,0.380952380952381
96,0.49999999999995,0.4285714285714082,0.2941176470588063,0.6428571428570969,0.4516129032257919,0.3703703703698766,0.5476190476190477
97,0.39999999999996,0.7142857142856803,0.39999999999996,0.7142857142856803,0.6129032258064319,0.39999999999946,0.6238095238095238
98,0.19999999999998,0.6190476190475896,0.19999999999998,0.6190476190475896,0.4838709677419199,0.19999999999948,0.4190476190476191
99,0.29999999999997,0.8571428571428164,0.4999999999999167,0.7199999999999712,0.6774193548386879,0.37499999999948436,0.5333333333333334
