outer_fold,original_class,n,tuned_pred_pos_count,tuned_pred_pos_rate,default_pred_pos_count,default_pred_pos_rate,tuned_recall,default_recall
0,1,12,1,0.08333333333333333,0,0.0,,
0,2,10,5,0.5,1,0.1,,
0,3,10,6,0.6,4,0.4,0.6,0.4
1,1,13,4,0.3076923076923077,3,0.23076923076923078,,
1,2,8,1,0.125,0,0.0,,
1,3,11,8,0.7272727272727273,8,0.7272727272727273,0.7272727272727273,0.7272727272727273
2,1,8,3,0.375,2,0.25,,
2,2,13,5,0.38461538461538464,1,0.07692307692307693,,
2,3,11,9,0.8181818181818182,6,0.5454545454545454,0.8181818181818182,0.5454545454545454
3,1,12,3,0.25,3,0.25,,
3,2,9,4,0.4444444444444444,4,0.4444444444444444,,
3,3,11,8,0.7272727272727273,6,0.5454545454545454,0.7272727272727273,0.5454545454545454
4,1,8,2,0.25,1,0.125,,
4,2,13,2,0.15384615384615385,2,0.15384615384615385,,
4,3,10,2,0.2,2,0.2,0.2,0.2
